Dates,Category,Descript,DayOfWeek,PdDistrict,Resolution,Address,X,Y,Year,Month
11-12-2006 09:07,FAMILY OFFENSES,ABANDONMENT OF CHILD,Monday,TARAVAL,NONE,100 Block of HEAD ST,-122.4642873,37.71018005,2006,12
01-12-2006 21:59,FAMILY OFFENSES,ABANDONMENT OF CHILD,Friday,RICHMOND,NONE,3800 Block of GEARY BL,-122.46053,37.7810649,2006,12
22-09-2006 14:00,FAMILY OFFENSES,ABANDONMENT OF CHILD,Friday,MISSION,NONE,1000 Block of POTRERO AV,-122.4065391,37.75648641,2006,09
19-09-2006 12:25,FAMILY OFFENSES,ABANDONMENT OF CHILD,Tuesday,INGLESIDE,"ARREST, CITED",4500 Block of MISSION ST,-122.4342633,37.72549691,2006,09
10-09-2006 14:00,FAMILY OFFENSES,ABANDONMENT OF CHILD,Sunday,SOUTHERN,NONE,100 Block of 4TH ST,-122.4039407,37.78430071,2006,09
29-07-2006 13:35,FAMILY OFFENSES,ABANDONMENT OF CHILD,Saturday,SOUTHERN,NONE,600 Block of NATOMA ST,-122.4111182,37.77756071,2006,07
11-07-2006 14:00,FAMILY OFFENSES,ABANDONMENT OF CHILD,Tuesday,BAYVIEW,PROSECUTED BY OUTSIDE AGENCY,1600 Block of REVERE AV,-122.3908157,37.73209951,2006,07
31-05-2006 18:45,FAMILY OFFENSES,ABANDONMENT OF CHILD,Wednesday,NORTHERN,"ARREST, BOOKED",1100 Block of SUTTER ST,-122.4193173,37.7879137,2006,05
18-04-2006 10:29,FAMILY OFFENSES,ABANDONMENT OF CHILD,Tuesday,INGLESIDE,NONE,300 Block of MADRID ST,-122.4309952,37.72390292,2006,04
04-04-2006 19:35,FAMILY OFFENSES,ABANDONMENT OF CHILD,Tuesday,MISSION,"ARREST, CITED",2000 Block of MARKET ST,-122.4269556,37.76924706,2006,04
03-04-2006 19:12,FAMILY OFFENSES,ABANDONMENT OF CHILD,Monday,TARAVAL,JUVENILE DIVERTED,800 Block of MOUNT VERNON AV,-122.452034,37.71977958,2006,04
25-03-2006 21:30,FAMILY OFFENSES,ABANDONMENT OF CHILD,Saturday,TARAVAL,"ARREST, BOOKED",1500 Block of 29TH AV,-122.4875821,37.75840623,2006,03
06-02-2006 00:01,FAMILY OFFENSES,ABANDONMENT OF CHILD,Monday,TARAVAL,UNFOUNDED,1100 Block of PLYMOUTH AV,-122.4560769,37.72288601,2006,02
23-01-2006 17:08,FAMILY OFFENSES,ABANDONMENT OF CHILD,Monday,SOUTHERN,"ARREST, BOOKED",900 Block of MARKET ST,-122.4084211,37.78356994,2006,01
11-01-2006 22:49,FAMILY OFFENSES,ABANDONMENT OF CHILD,Wednesday,CENTRAL,"ARREST, BOOKED",400 Block of DAVIS CT,-122.3981877,37.79671489,2006,01
30-12-2005 15:00,FAMILY OFFENSES,ABANDONMENT OF CHILD,Friday,BAYVIEW,NOT PROSECUTED,1400 Block of VANDYKE AV,-122.3895881,37.72762656,2005,12
12-08-2005 07:00,FAMILY OFFENSES,ABANDONMENT OF CHILD,Friday,MISSION,NONE,1100 Block of FLORIDA ST,-122.4102107,37.75352029,2005,08
10-08-2005 21:00,FAMILY OFFENSES,ABANDONMENT OF CHILD,Wednesday,NORTHERN,NONE,800 Block of OFARRELL ST,-122.4187296,37.7850075,2005,08
08-04-2005 19:26,FAMILY OFFENSES,ABANDONMENT OF CHILD,Friday,INGLESIDE,"ARREST, BOOKED",1600 Block of SUNNYDALE AV,-122.4171448,37.71215029,2005,04
22-03-2005 17:00,FAMILY OFFENSES,ABANDONMENT OF CHILD,Tuesday,MISSION,NONE,400 Block of GUERRERO ST,-122.4241469,37.76395301,2005,03
13-03-2005 17:00,FAMILY OFFENSES,ABANDONMENT OF CHILD,Sunday,MISSION,NONE,2800 Block of BRYANT ST,-122.4086957,37.74896892,2005,03
27-01-2005 12:18,FAMILY OFFENSES,ABANDONMENT OF CHILD,Thursday,NORTHERN,NONE,2100 Block of UNION ST,-122.434695,37.79724575,2005,01
23-12-2004 16:30,FAMILY OFFENSES,ABANDONMENT OF CHILD,Thursday,INGLESIDE,NONE,300 Block of SAWYER ST,-122.414201,37.71378897,2004,12
23-12-2004 06:00,FAMILY OFFENSES,ABANDONMENT OF CHILD,Thursday,BAYVIEW,NONE,1400 Block of THOMAS AV,-122.3885428,37.72878929,2004,12
11-12-2004 19:17,FAMILY OFFENSES,ABANDONMENT OF CHILD,Saturday,TARAVAL,NONE,200 Block of SERRANO DR,-122.4794296,37.71988442,2004,12
24-11-2004 06:40,FAMILY OFFENSES,ABANDONMENT OF CHILD,Wednesday,SOUTHERN,NONE,400 Block of MISSION ST,-122.3970918,37.79006619,2004,11
12-10-2004 22:10,FAMILY OFFENSES,ABANDONMENT OF CHILD,Tuesday,BAYVIEW,NONE,0 Block of NICHOLS WY,-122.3872348,37.71940083,2004,10
03-10-2004 04:32,FAMILY OFFENSES,ABANDONMENT OF CHILD,Sunday,RICHMOND,"ARREST, BOOKED",500 Block of JOHN F KENNEDY DR,-122.4662047,37.77254054,2004,10
05-09-2004 10:00,FAMILY OFFENSES,ABANDONMENT OF CHILD,Sunday,TARAVAL,NONE,4100 Block of KIRKHAM ST,-122.5052676,37.75852767,2004,09
02-09-2004 20:05,FAMILY OFFENSES,ABANDONMENT OF CHILD,Thursday,BAYVIEW,JUVENILE BOOKED,100 Block of NAPOLEON ST,-122.3991748,37.7469781,2004,09
18-08-2004 11:43,FAMILY OFFENSES,ABANDONMENT OF CHILD,Wednesday,BAYVIEW,"ARREST, BOOKED",2300 Block of SAN BRUNO AV,-122.4064174,37.73371497,2004,08
22-07-2004 15:15,FAMILY OFFENSES,ABANDONMENT OF CHILD,Thursday,TENDERLOIN,NONE,200 Block of EDDY ST,-122.4118001,37.78408904,2004,07
04-03-2004 21:00,FAMILY OFFENSES,ABANDONMENT OF CHILD,Thursday,SOUTHERN,NONE,1200 Block of MARKET ST,-122.4154488,37.77829352,2004,03
03-03-2004 14:15,FAMILY OFFENSES,ABANDONMENT OF CHILD,Wednesday,INGLESIDE,NONE,400 Block of PERSIA AV,-122.4324336,37.72137726,2004,03
21-01-2004 15:18,FAMILY OFFENSES,ABANDONMENT OF CHILD,Wednesday,TARAVAL,"ARREST, BOOKED",3200 Block of 20TH AV,-122.4756475,37.72852806,2004,01
08-01-2004 13:49,FAMILY OFFENSES,ABANDONMENT OF CHILD,Thursday,SOUTHERN,UNFOUNDED,0 Block of UNITED NATIONS PZ,-122.4143179,37.77994441,2004,01
07-01-2004 09:00,FAMILY OFFENSES,ABANDONMENT OF CHILD,Wednesday,BAYVIEW,UNFOUNDED,1200 Block of EGBERT AV,-122.3898086,37.7211357,2004,01
09-12-2003 12:00,FAMILY OFFENSES,ABANDONMENT OF CHILD,Tuesday,MISSION,CLEARED-CONTACT JUVENILE FOR MORE INFO,3400 Block of 25TH ST,-122.4191422,37.75053305,2003,12
29-11-2003 11:12,FAMILY OFFENSES,ABANDONMENT OF CHILD,Saturday,RICHMOND,"ARREST, BOOKED",4TH AV / GEARY BL,-122.4621413,37.78110989,2003,11
17-10-2003 10:25,FAMILY OFFENSES,ABANDONMENT OF CHILD,Friday,BAYVIEW,NOT PROSECUTED,1600 Block of NEWCOMB AV,-122.3910896,37.7359045,2003,10
01-10-2003 09:44,FAMILY OFFENSES,ABANDONMENT OF CHILD,Wednesday,TENDERLOIN,"ARREST, BOOKED",500 Block of OFARRELL ST,-122.4137984,37.78562979,2003,10
03-09-2003 14:05,FAMILY OFFENSES,ABANDONMENT OF CHILD,Wednesday,MISSION,NONE,1000 Block of POTRERO AV,-122.4065391,37.75648641,2003,09
08-08-2003 09:28,FAMILY OFFENSES,ABANDONMENT OF CHILD,Friday,PARK,"ARREST, CITED",GROVE ST / CLAYTON ST,-122.4495175,37.77446022,2003,08
12-06-2003 22:35,FAMILY OFFENSES,ABANDONMENT OF CHILD,Thursday,CENTRAL,PROSECUTED BY OUTSIDE AGENCY,1400 Block of CALIFORNIA ST,-122.4182198,37.79082447,2003,06
10-06-2003 15:29,FAMILY OFFENSES,ABANDONMENT OF CHILD,Tuesday,SOUTHERN,JUVENILE DIVERTED,600 Block of NATOMA ST,-122.4111182,37.77756071,2003,06
01-06-2003 22:00,FAMILY OFFENSES,ABANDONMENT OF CHILD,Sunday,INGLESIDE,NONE,0 Block of GOLD MINE DR,-122.4372058,37.74392308,2003,06
29-05-2003 13:49,FAMILY OFFENSES,ABANDONMENT OF CHILD,Thursday,TENDERLOIN,"ARREST, BOOKED",TURK ST / JONES ST,-122.4124143,37.7830038,2003,05
02-05-2003 19:30,FAMILY OFFENSES,ABANDONMENT OF CHILD,Friday,SOUTHERN,NONE,800 Block of BRYANT ST,-122.4034048,37.77542071,2003,05
30-04-2003 23:33,FAMILY OFFENSES,ABANDONMENT OF CHILD,Wednesday,INGLESIDE,NONE,500 Block of SILVER AV,-122.4256315,37.72871405,2003,04
18-04-2003 13:00,FAMILY OFFENSES,ABANDONMENT OF CHILD,Friday,TARAVAL,NOT PROSECUTED,1700 Block of NORIEGA ST,-122.482372,37.75392544,2003,04
18-04-2003 08:47,FAMILY OFFENSES,ABANDONMENT OF CHILD,Friday,MISSION,NONE,4300 Block of 24TH ST,-122.4390056,37.75093847,2003,04
08-03-2003 10:55,FAMILY OFFENSES,ABANDONMENT OF CHILD,Saturday,SOUTHERN,NONE,500 Block of MINNA ST,-122.4086735,37.78005744,2003,03
04-03-2003 17:15,FAMILY OFFENSES,ABANDONMENT OF CHILD,Tuesday,SOUTHERN,"ARREST, BOOKED",800 Block of MARKET ST,-122.4066906,37.78520719,2003,03
21-02-2003 20:57,FAMILY OFFENSES,ABANDONMENT OF CHILD,Friday,INGLESIDE,"ARREST, BOOKED",200 Block of PARIS ST,-122.4325947,37.72466703,2003,02
19-02-2003 12:45,FAMILY OFFENSES,ABANDONMENT OF CHILD,Wednesday,PARK,"ARREST, BOOKED",2600 Block of GEARY BL,-122.446613,37.78224582,2003,02
07-02-2003 14:15,FAMILY OFFENSES,ABANDONMENT OF CHILD,Friday,BAYVIEW,NONE,SAN BRUNO AV / BACON ST,-122.4035953,37.7276341,2003,02
06-02-2003 01:00,FAMILY OFFENSES,ABANDONMENT OF CHILD,Thursday,MISSION,DISTRICT ATTORNEY REFUSES TO PROSECUTE,400 Block of VALENCIA ST,-122.4219351,37.76613439,2003,02
03-02-2003 19:30,FAMILY OFFENSES,ABANDONMENT OF CHILD,Monday,BAYVIEW,NONE,200 Block of GAVEN ST,-122.4103997,37.73277054,2003,02
26-01-2003 12:00,FAMILY OFFENSES,ABANDONMENT OF CHILD,Sunday,NORTHERN,NONE,1600 Block of STEINER ST,-122.4345794,37.78456464,2003,01
24-01-2003 10:55,FAMILY OFFENSES,ABANDONMENT OF CHILD,Friday,BAYVIEW,JUVENILE BOOKED,1700 Block of CESAR CHAVEZ ST,-122.3943479,37.7499132,2003,01
22-01-2003 14:45,FAMILY OFFENSES,ABANDONMENT OF CHILD,Wednesday,INGLESIDE,"ARREST, BOOKED",HOLLY PARK CR / NEWMAN ST,-122.4189427,37.73789764,2003,01
21-09-2014 08:43,OTHER OFFENSES,ABORTION,Sunday,BAYVIEW,"ARREST, BOOKED",0 Block of NORTHRIDGE RD,-122.3756052,37.73072152,2014,09
23-03-2013 12:12,OTHER OFFENSES,ABORTION,Saturday,SOUTHERN,UNFOUNDED,500 Block of MINNA ST,-122.4087707,37.7801357,2013,03
17-02-2009 18:55,OTHER OFFENSES,ABORTION,Tuesday,INGLESIDE,NONE,4000 Block of MISSION ST,-122.4279301,37.73221449,2009,02
12-12-2008 11:00,OTHER OFFENSES,ABORTION,Friday,MISSION,NONE,3200 Block of 22ND ST,-122.4192972,37.75534659,2008,12
04-08-2003 06:10,OTHER OFFENSES,ABORTION,Monday,NORTHERN,"ARREST, BOOKED",SACRAMENTO ST / VAN NESS AV,-122.422517,37.79128899,2003,08
01-05-2003 13:58,OTHER OFFENSES,ABORTION,Thursday,TENDERLOIN,"ARREST, BOOKED",GOLDEN GATE AV / JONES ST,-122.4122242,37.78207293,2003,05
31-10-2012 00:01,FRAUD,"ACCESS CARD INFORMATION, PUBLICATION OF",Wednesday,NORTHERN,NONE,800 Block of OFARRELL ST,-122.4187513,37.785116,2012,10
29-10-2012 00:50,FRAUD,"ACCESS CARD INFORMATION, PUBLICATION OF",Monday,MISSION,"ARREST, BOOKED",17TH ST / VALENCIA ST,-122.4217338,37.76329969,2012,10
21-09-2012 20:40,FRAUD,"ACCESS CARD INFORMATION, PUBLICATION OF",Friday,CENTRAL,NONE,POWELL ST / GEARY ST,-122.408231,37.78735949,2012,09
25-08-2012 12:00,FRAUD,"ACCESS CARD INFORMATION, PUBLICATION OF",Saturday,RICHMOND,NONE,100 Block of 9TH AV,-122.4678992,37.78558002,2012,08
16-12-2011 21:44,FRAUD,"ACCESS CARD INFORMATION, PUBLICATION OF",Friday,NORTHERN,NONE,OLIVE ST / POLK ST,-122.4194581,37.78449902,2011,12
23-10-2011 12:00,FRAUD,"ACCESS CARD INFORMATION, PUBLICATION OF",Sunday,TARAVAL,NONE,200 Block of WINSTON DR,-122.4779767,37.72693464,2011,10
20-05-2011 17:21,FRAUD,"ACCESS CARD INFORMATION, PUBLICATION OF",Friday,NORTHERN,"ARREST, BOOKED",1500 Block of PACIFIC AV,-122.420764,37.79507626,2011,05
12-03-2011 12:00,FRAUD,"ACCESS CARD INFORMATION, PUBLICATION OF",Saturday,TARAVAL,NONE,1700 Block of 20TH AV,-122.477544,37.7551118,2011,03
29-04-2015 13:00,FRAUD,"ACCESS CARD INFORMATION, THEFT OF",Wednesday,CENTRAL,NONE,100 Block of VALPARAISO ST,-122.415469,37.80114188,2015,04
29-04-2015 06:00,FRAUD,"ACCESS CARD INFORMATION, THEFT OF",Wednesday,CENTRAL,NONE,900 Block of GREENWICH ST,-122.4155306,37.80150151,2015,04
18-04-2015 00:30,FRAUD,"ACCESS CARD INFORMATION, THEFT OF",Saturday,SOUTHERN,NONE,300 Block of 11TH ST,-122.4132875,37.7711962,2015,04
17-04-2015 20:00,FRAUD,"ACCESS CARD INFORMATION, THEFT OF",Friday,CENTRAL,NONE,100 Block of SACRAMENTO ST,-122.3972137,37.79456387,2015,04
17-04-2015 00:01,FRAUD,"ACCESS CARD INFORMATION, THEFT OF",Friday,CENTRAL,NONE,1000 Block of WASHINGTON ST,-122.4109401,37.7945247,2015,04
16-04-2015 13:00,FRAUD,"ACCESS CARD INFORMATION, THEFT OF",Thursday,PARK,NONE,1000 Block of BAKER ST,-122.4419417,37.78082589,2015,04
15-04-2015 10:30,FRAUD,"ACCESS CARD INFORMATION, THEFT OF",Wednesday,TENDERLOIN,NONE,OFARRELL ST / POWELL ST,-122.4080405,37.7864094,2015,04
03-04-2015 10:21,FRAUD,"ACCESS CARD INFORMATION, THEFT OF",Friday,CENTRAL,NONE,900 Block of MASON ST,-122.4108456,37.79231587,2015,04
19-03-2015 15:00,FRAUD,"ACCESS CARD INFORMATION, THEFT OF",Thursday,SOUTHERN,NONE,300 Block of SPEAR ST,-122.3902343,37.78940327,2015,03
19-03-2015 00:01,FRAUD,"ACCESS CARD INFORMATION, THEFT OF",Thursday,TENDERLOIN,NONE,0 Block of POWELL ST,-122.4078454,37.78509432,2015,03
17-03-2015 04:41,FRAUD,"ACCESS CARD INFORMATION, THEFT OF",Tuesday,CENTRAL,NONE,500 Block of TAYLOR ST,-122.4115404,37.78740984,2015,03
16-03-2015 20:00,FRAUD,"ACCESS CARD INFORMATION, THEFT OF",Monday,INGLESIDE,NONE,200 Block of COTTER ST,-122.4366316,37.72944693,2015,03
20-02-2015 18:40,FRAUD,"ACCESS CARD INFORMATION, THEFT OF",Friday,NORTHERN,NONE,200 Block of ALHAMBRA ST,-122.440132,37.80146035,2015,02
18-02-2015 09:00,FRAUD,"ACCESS CARD INFORMATION, THEFT OF",Wednesday,CENTRAL,NONE,500 Block of STOCKTON ST,-122.4072335,37.79052236,2015,02
23-01-2015 09:00,FRAUD,"ACCESS CARD INFORMATION, THEFT OF",Friday,CENTRAL,NONE,1000 Block of STOCKTON ST,-122.4082362,37.79538218,2015,01
21-01-2015 00:01,FRAUD,"ACCESS CARD INFORMATION, THEFT OF",Wednesday,CENTRAL,NONE,300 Block of GREEN ST,-122.4054991,37.79999925,2015,01
20-01-2015 18:10,FRAUD,"ACCESS CARD INFORMATION, THEFT OF",Tuesday,CENTRAL,NONE,1000 Block of KEARNY ST,-122.4054321,37.79730863,2015,01
20-01-2015 00:01,FRAUD,"ACCESS CARD INFORMATION, THEFT OF",Tuesday,CENTRAL,NONE,1400 Block of STOCKTON ST,-122.4090315,37.79925319,2015,01
19-01-2015 03:36,FRAUD,"ACCESS CARD INFORMATION, THEFT OF",Monday,NORTHERN,NONE,900 Block of FRANKLIN ST,-122.4224425,37.7829271,2015,01
19-01-2015 00:01,FRAUD,"ACCESS CARD INFORMATION, THEFT OF",Monday,SOUTHERN,NONE,700 Block of MISSION ST,-122.40307,37.78526863,2015,01
09-01-2015 00:01,FRAUD,"ACCESS CARD INFORMATION, THEFT OF",Friday,TENDERLOIN,NONE,300 Block of OFARRELL ST,-122.4105093,37.78604322,2015,01
08-01-2015 09:05,FRAUD,"ACCESS CARD INFORMATION, THEFT OF",Thursday,NORTHERN,NONE,0 Block of ALHAMBRA ST,-122.4377679,37.80286213,2015,01
07-01-2015 17:00,FRAUD,"ACCESS CARD INFORMATION, THEFT OF",Wednesday,PARK,NONE,0 Block of CRESTLINE DR,-122.4464321,37.75024106,2015,01
06-01-2015 15:17,FRAUD,"ACCESS CARD INFORMATION, THEFT OF",Tuesday,SOUTHERN,"ARREST, BOOKED",800 Block of MARKET ST,-122.4076335,37.78418935,2015,01
25-12-2014 09:20,FRAUD,"ACCESS CARD INFORMATION, THEFT OF",Thursday,TENDERLOIN,NONE,0 Block of 5THSTNORTH ST,-122.4082941,37.78424763,2014,12
12-12-2014 17:00,FRAUD,"ACCESS CARD INFORMATION, THEFT OF",Friday,PARK,NONE,0 Block of CASTRO ST,-122.4356374,37.76816943,2014,12
10-12-2014 16:53,FRAUD,"ACCESS CARD INFORMATION, THEFT OF",Wednesday,RICHMOND,NONE,4800 Block of GEARY BL,-122.4712672,37.78082724,2014,12
10-12-2014 09:00,FRAUD,"ACCESS CARD INFORMATION, THEFT OF",Wednesday,CENTRAL,NONE,700 Block of TAYLOR ST,-122.4119143,37.78929145,2014,12
26-11-2014 12:30,FRAUD,"ACCESS CARD INFORMATION, THEFT OF",Wednesday,TENDERLOIN,"ARREST, BOOKED",0 Block of POWELL ST,-122.4078454,37.78509432,2014,11
25-11-2014 22:00,FRAUD,"ACCESS CARD INFORMATION, THEFT OF",Tuesday,SOUTHERN,NONE,MARKET ST / 5TH ST,-122.4080683,37.78399168,2014,11
31-10-2014 10:00,FRAUD,"ACCESS CARD INFORMATION, THEFT OF",Friday,SOUTHERN,NONE,700 Block of HARRISON ST,-122.3990457,37.78131971,2014,10
27-10-2014 12:00,FRAUD,"ACCESS CARD INFORMATION, THEFT OF",Monday,CENTRAL,NONE,300 Block of BATTERY ST,-122.400216,37.79480303,2014,10
17-10-2014 05:30,FRAUD,"ACCESS CARD INFORMATION, THEFT OF",Friday,SOUTHERN,NONE,MARKET ST / 5THSTNORTH ST,-122.4080683,37.78399168,2014,10
15-10-2014 12:00,FRAUD,"ACCESS CARD INFORMATION, THEFT OF",Wednesday,NORTHERN,NONE,1600 Block of SACRAMENTO ST,-122.4200742,37.79165219,2014,10
14-10-2014 14:10,FRAUD,"ACCESS CARD INFORMATION, THEFT OF",Tuesday,SOUTHERN,"ARREST, CITED",800 Block of 3RD ST,-122.3914251,37.77787278,2014,10
13-10-2014 20:35,FRAUD,"ACCESS CARD INFORMATION, THEFT OF",Monday,NORTHERN,"ARREST, BOOKED",HICKORY ST / FRANKLIN ST,-122.4210543,37.77569388,2014,10
05-10-2014 00:01,FRAUD,"ACCESS CARD INFORMATION, THEFT OF",Sunday,CENTRAL,NONE,900 Block of GREENWICH ST,-122.4155683,37.80160798,2014,10
04-10-2014 07:00,FRAUD,"ACCESS CARD INFORMATION, THEFT OF",Saturday,TARAVAL,NONE,2600 Block of 17TH AV,-122.4732946,37.73846351,2014,10
03-10-2014 09:00,FRAUD,"ACCESS CARD INFORMATION, THEFT OF",Friday,SOUTHERN,NONE,500 Block of MINNA ST,-122.4087707,37.7801357,2014,10
